OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0473,West Prong Little Pigeon River Across from Bearpen Prong,River/Stream Perennial,Stream System: West Prong Little Pigeon  Stream Order: 3  UTMX=276982; UTMY=3946187,6010107,,,,,35.63644742,-83.46260068,24000,,,Interpolation-Digital Map Source,NAD83,3659.7,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0474,Little River Below Husky Branch at Resting Bench,River/Stream Perennial,Stream System: East Little  Stream Order: 4  UTMX=268508; UTMY=3947601,6010201,,,,,35.64688902,-83.5567287,24000,,,Interpolation-Digital Map Source,NAD83,2397.9,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0475,Fish Camp Prong at Angled Barrier Below War Branch,River/Stream Perennial,Stream System: East Little  Stream Order: 4  UTMX=269153; UTMY=3943285,6010201,,,,,35.60832469,-83.54820469,24000,,,Interpolation-Digital Map Source,NAD83,2948.3,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0479,Hazel Creek at Bridge Upstream of Campsite 86,River/Stream Perennial,Stream System: Hazel  Stream Order: 4  UTMX=253245; UTMY=3928614  Additional: Co-located with AQ_HAZ_1. Take boat across Fontana Reservoir to Hazel Creek Road.  Follow Hazel Creek Road to Proctor House.  Site begins roughly 20m downstream of Proctor House and ends 15m upstream of bridge.,6010202,,,,,35.47422034,-83.72236941,24000,,,Interpolation-Digital Map Source,NAD83,1719.4,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0480,Haw Gap Creek at Bridge Near Campsite 84,River/Stream Perennial,Stream System: Hazel  Stream Order: 3  UTMX=256090; UTMY=3931024  Additional: Haw Gap Creek 10m upstream of bridge near Campsite 84.,6010202,,,,,35.49484647,-83.68896613,24000,,,Interpolation-Digital Map Source,NAD83,2192.4,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0481,Little Fork Above Sugar Fork Trail,River/Stream Perennial,Stream System: Hazel  Stream Order: 1  UTMX=254333; UTMY=3931940,6010202,,,,,35.50626875,-83.70907153,24000,,,Interpolation-Digital Map Source,NAD83,2719.9,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0482,Sugar Fork Above Little Fork,River/Stream Perennial,Stream System: Hazel  Stream Order: 2  UTMX=254311; UTMY=3931919,6010202,,,,,35.50247546,-83.70856462,24000,,,Interpolation-Digital Map Source,NAD83,2569.9,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0483,Sugar Fork Above Haw Gap Creek,River/Stream Perennial,Stream System: Hazel  Stream Order: 2  UTMX=255541; UTMY=3931564  Additional: Sugar Fork above Haw Gap Creek across from cemetery access trail to Higdon Cemetery.,6010202,,,,,35.49938334,-83.69497181,24000,,,Interpolation-Digital Map Source,NAD83,2293.1,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0484,Hazel Creek at Cold Spring Gap Trail,River/Stream Perennial,Stream System: Hazel  Stream Order: 4  UTMX=258786; UTMY=3931903,6010202,,,,,35.50338618,-83.65934285,24000,,,Interpolation-Digital Map Source,NAD83,2459.2,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0485,Walker Creek Above Hazel Creek Trail,River/Stream Perennial,Stream System: Hazel  Stream Order: 2  UTMX=261409; UTMY=3933962  Additional: Walker Creek just upstream of Hazel Creek trail crossing of Walker Creek.,6010202,,,,,35.52295131,-83.63115807,24000,,,Interpolation-Digital Map Source,NAD83,2869.3,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0LR4,Goshen Prong Just Off Goshen Prong Trail,River/Stream,Stream System: Little River  Stream Order: 2,6010201,,,,,35.5842,-83.5472,24000,,,Interpolation-Map,WGS84,,,,,,,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_INC1.5,Indian Creek above Laney Cemetery,River/Stream,Proceed to Deep Creek and then up Indian Creek admin road.  Drive up admin road past Queen Branch and just past Laney Cemetery Access Road and site is on right.  UTMX=281325; UTMY=3929357  Deep Creek District  *AQ_INC_1.5*,6010203,,,,,35.48370794,-83.41042885,2400,,,Interpolation-Digital Map Source,NAD83,2147.9,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_MPLP3,Porters Creek - Middle Prong Little Pigeon River at Campsite 31,River/Stream,"Porters Creek at 3,254 feet just above the confluence with Horseshoe Branch  UTMX=284085; UTMY=3949126  Cosby District  *AQ_MPLP_3*",6010107,,,,,35.66240318,-83.38530829,2400,,,Interpolation-Digital Map Source,NAD83,3266.9,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_MPL_BDP,Bulk Deposition Site Located Porters Flat,Land,,6010107,,,,,35.68750806,-83.39907667,24000,,,Interpolation-Map,WGS84,683,m,,,Topographic Map Interpolation,SEALV,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_MPL_BDR,Bulk Deposition Site Behind the Ranger,Land,,6010107,,,,,35.72077083,-83.39850556,24000,,,Interpolation-Map,WGS84,439,m,,,Topographic Map Interpolation,SEALV,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_MPL_DOWN,Downstream Site at the Edge of Greenbrier Road Construction,River/Stream Perennial,Downstream site at the park boundary next to US HWY 321 approximately 1 mile north of the ranger station.,6010107,,,,,35.73850121,-83.4160393,24000,,,Interpolation-Digital Map Source,NAD83,1362.2,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_MPL_MID,Middle Site in the Middle of Greenbrier Road Construction,River/Stream Perennial,Half a mile north of the ranger station.,6010107,,,,,35.73224712,-83.40637509,24000,,,Interpolation-Digital Map Source,NAD83,1407.9,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_MPL_RP,Ramsey Prong Above Porters Creek,River/Stream Perennial,,6010107,,,,,35.70290642,-83.33298924,24000,,,Interpolation-Digital Map Source,NAD83,2649.9,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_MPL_UPSTR,Upstream Site Above Greenbrier Road Construction,River/Stream Perennial,Upstream site above all the Greenbrier road construction approximately 2 miles south of the ranger station adjacent to the Greenbrier picnic area.,6010107,,,,,35.71465846,-83.38316564,24000,,,Interpolation-Digital Map Source,NAD83,1604.4,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_4135,Upper Soil Layer (4135) at Noland Divide Station,Land,"Upper soil layer, named with 4135 in daily record.",6010203,,,,,35.565005,-83.476536,24000,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_4145,Intermediate Soil Layer (4145) at Noland Divide Station,Land,"Intermediate soil layer, named with 4145 in daily record.",6010203,,,,,35.565005,-83.476536,24000,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_4155,Lower Soil Layer (4155) at Noland Divide Station,Land,"Lower soil layer, named with 4155 in daily record.",6010203,,,,,35.565005,-83.476536,24000,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_NE,Noland Creek Northeastern Flume,River/Stream Perennial,,6010203,,,,,35.56481444,-83.47993069,24000,,,Interpolation-Digital Map Source,NAD83,5503.3,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_OS,Open Site Station at Noland Divide,Land,,6010203,,,,,35.565012,-83.477094,24000,,,Interpolation-Digital Map Source,WGS84,1717,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_PLA1,Upper Soil Layer (O/A) at Noland Divide Station,Land,"Upper soil layer, named with PLA1 in daily record.",6010203,,,,,35.56500497,-83.476536,24000,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_PLA1+2,Upper Soil Layer (O/A) at Noland Divide Station,Land,"Upper soil layer, named with PLA1+2 in daily record.",6010203,,,,,35.56500497,-83.476536,,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_PLA2,Upper Soil Layer (O/A) at Noland Divide Station,Land,"Upper soil layer, named with PLA2 in daily record.",6010203,,,,,35.56500497,-83.476536,24000,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_PLA3,Upper Soil Layer (O/A) at Noland Divide Station,Land,"Upper soil layer, named with PLA3 in daily record.",6010203,,,,,35.56500497,-83.476536,,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_PLB1,Middle Soil Layer (B) at Noland Divide Station,Land,"Middle soil layer, named with PLB1 in daily record.",6010203,,,,,35.56500497,-83.476536,,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_PLB2,Middle Soil Layer (B) at Noland Divide Station,Land,"Middle soil layer, named with PLB2 in daily record.",6010203,,,,,35.56500497,-83.476536,,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_PLB3,Middle Soil Layer (B) at Noland Divide Station,Land,"Middle soil layer, named with PLB3 in daily record.",6010203,,,,,35.56500497,-83.476536,,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_PLC1,Lower Soil Layer (C) at Noland Divide Station,Land,"Lower soil layer, named with PLC1 in daily record.",6010203,,,,,35.56500497,-83.476536,,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_PLC2,Lower Soil Layer (C) at Noland Divide Station,Land,"Lower soil layer, named PLC2 in daily record.",6010203,,,,,35.56500497,-83.476536,,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_SW,Noland Creek Southwestern Flume,River/Stream Perennial,,6010203,,,,,35.56467155,-83.48004236,24000,,,Interpolation-Digital Map Source,NAD83,5517.3,ft,,,Other,NAVD88,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_ND_TF,Throughfall Station at Noland Divide,Land,,6010203,,,,,35.565005,-83.476536,24000,,,Interpolation-Digital Map Source,WGS84,1722,m,,,Topographic Map Interpolation,SEALV,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0213,NCSW502R,Spring,"This station is located on the BRYSON CITY, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.3765);LONG(-83.4529) & XG0224.24 LAT(35.3746);LONG(-83.4542).",6010202,,,,,35.3757,-83.453,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0214,NCSW503R,Spring,"This station is located on the ALARKA, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.3439);LONG(-83.4302) & XG0224.24 LAT(35.3408);LONG(-83.4322).",6010202,,,,,35.3436,-83.4299,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0215,NCSW504R,Spring,"This station is located on the ALARKA, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.3383);LONG(-83.3932) & XG0224.24 LAT(35.3359);LONG(-83.3946).",6010202,,,,,35.3384,-83.3933,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0216,NCSW505R,Spring,"This station is located on the WESSER, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.375);LONG(-83.5032) & XG0224.24 LAT(35.374);LONG(-83.5044).",6010202,,,,,35.3748,-83.5035,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0217,NCSW506R,Spring,"This station is located on the NOLAND CREEK, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.342);LONG(-83.4984) & XG0224.24 LAT(35.3405);LONG(-83.4989).",6010202,,,,,35.4126,-83.5396,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0218,NCSW507R,Spring,"This station is located on the BRYSON CITY, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.4349);LONG(-83.4154) & XG0224.24 LAT(35.4338);LONG(-83.4145).",6010203,,,,,35.4337,-83.4149,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0219,NCSW508R,Spring,"This station is located on the BRYSON CITY, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.4595);LONG(-83.4359) & XG0224.24 LAT(35.459);LONG(-83.4343).",6010203,,,,,35.459,-83.4353,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0220,NCSW509R,Spring,"This station is located on the BRYSON CITY, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.4736);LONG(-83.3868) & XG0224.24 LAT(35.4732);LONG(-83.3855).",6010203,,,,,35.4728,-83.3851,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0221,NCSW512R,Spring,"This station is located on the BUNCHES BALD, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.5698);LONG(-83.2472) & XG0224.24 LAT(35.5692);LONG(-83.2457).",6010203,,,,,35.5679,-83.2457,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0222,NCSW513R,Spring,"This station is located on the WHITTIER, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.4988);LONG(-83.3006) & XG0224.24 LAT(35.4966);LONG(-83.3003).",6010203,,,,,35.4971,-83.2996,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0223,NCSW514R,Spring,"This station is located on the WHITTIER, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.4001);LONG(-83.3737) & XG0224.24 LAT(35.3974);LONG(-83.375).",6010203,,,,,35.3991,-83.3737,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0224,NCSW515R,Spring,"This station is located on the BRYSON CITY, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.4368);LONG(-83.4959) & XG0224.24 LAT(35.4363);LONG(-83.4949).",6010203,,,,,35.4366,-83.4956,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0225,NCSW516R,Spring,"This station is located on the NOLAND CREEK, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.4121);LONG(-83.5394) & XG0224.24 LAT(35.4135);LONG(-83.5393).",6010202,,,,,35.4125,-83.5397,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0226,NCSW517R,Spring,"This station is located on the WESSER, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.3732);LONG(-83.5405) & XG0224.24 LAT(35.3736);LONG(-83.5409).",6010202,,,,,35.3739,-83.5405,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_NURE_0227,NCSW518R,Spring,"This station is located on the WESSER, NC 1:24000 scale series topographic quadrangle. This site, described as a spring, was retrieved from the online USGS Open-File Report 97-492, 'National Geochemical Database, Reformatted Data from the National Uranium Resource Evaluation (NURE) Hydrogeochemical and Stream Sediment Reconnaissance (HSSR) Program' Version 1.4 (2006). The 'SRLID' (Savannah River Laboratory Site Identification Number) field entry was used to create the Station Name. From the source: REDIGITIZED SAMPLE LOCATION. CHANGED LAT & LONG VALUES TO NEW COORDINATES. ORIGINAL VALUES - XG0569.14 LAT(35.3235);LONG(-83.546) & XG0224.24 LAT(35.3236);LONG(-83.5464).",6010202,,,,,35.3242,-83.5461,0,,,Unknown,NAD27,,,,,,,US,37,173,,,,,,,,,,STORET
